epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.6819,1.58882,4.29258,1.13101,0.00325,0.95,0.00527,0.00272,1.58888,4.60733,1.12863,0.00018,0.00018,0.00018
2,152.558,1.3995,2.40153,1.05892,0.00325,0.95,0.00497,0.00248,1.23616,4.50059,1.06426,0.000372476,0.000372476,0.000372476
3,233.111,1.47051,2.01549,1.20264,0.00316,0.925,0.00514,0.00221,1.18577,4.48756,1.10039,0.000557032,0.000557032,0.000557032
4,309.98,1.27584,1.73238,1.13365,0.00308,0.9,0.00352,0.00118,1.20659,4.5022,1.16111,0.000733668,0.000733668,0.000733668
5,376.754,1.38536,1.73819,1.11235,0.00103,0.3,0.00069,0.00022,1.40221,4.5238,1.32297,0.000902384,0.000902384,0.000902384
6,429.012,1.36687,1.71412,1.16648,0.00274,0.8,0.0499,0.029,1.38716,4.06315,1.30823,0.00106318,0.00106318,0.00106318
7,481.028,1.36475,1.55427,1.14393,0.00325,0.95,0.17555,0.07891,1.35185,3.61077,1.28165,0.00121606,0.00121606,0.00121606
8,530.881,1.26005,1.35152,1.11274,0.00316,0.925,0.44753,0.23834,1.32541,3.70822,1.21109,0.00136101,0.00136101,0.00136101
9,580.729,1.29811,1.33741,1.15952,0.00325,0.95,0.65473,0.34798,1.45505,3.25967,1.37958,0.00149805,0.00149805,0.00149805
10,630.575,1.30473,1.2837,1.11434,1,0.48648,0.9441,0.4817,1.48477,2.60546,1.4334,0.00162716,0.00162716,0.00162716
11,682.096,1.35152,1.31873,1.13438,0.88696,0.58869,0.91677,0.42395,1.48746,2.59919,1.40907,0.001604,0.001604,0.001604
12,732.445,1.33453,1.25292,1.14959,0.97224,0.87555,0.90826,0.45719,1.54669,2.03849,1.4458,0.0015644,0.0015644,0.0015644
13,783.043,1.27326,1.19093,1.12065,0.97349,0.91819,0.9448,0.53469,1.46114,1.84573,1.39575,0.0015248,0.0015248,0.0015248
14,833.338,1.28281,1.15604,1.10398,0.89689,0.86996,0.82357,0.42795,1.6501,1.55226,1.64982,0.0014852,0.0014852,0.0014852
15,886.017,1.31189,1.03238,1.14256,0.94437,0.925,0.94214,0.50186,1.5226,1.5558,1.45142,0.0014456,0.0014456,0.0014456
16,939.383,1.2026,1.0204,1.09659,0.94838,0.91877,0.92915,0.55282,1.39801,1.32507,1.38563,0.001406,0.001406,0.001406
17,991.509,1.23185,0.99152,1.11597,0.96477,0.875,0.9554,0.53701,1.45974,1.27251,1.38999,0.0013664,0.0013664,0.0013664
18,1043.47,1.2256,0.98024,1.0914,0.92255,0.89345,0.8752,0.47952,1.43163,1.18506,1.40353,0.0013268,0.0013268,0.0013268
19,1094.88,1.21873,0.92905,1.073,0.86498,0.8,0.81605,0.4986,1.35615,1.16801,1.3572,0.0012872,0.0012872,0.0012872
