epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3515,2.30159,9.50652,1.10414,0.00019,0.05,0.0001,8e-05,2.14088,13.7085,0.71091,0.00014,0.00014,0.00014
2,33.1494,2.33997,9.31299,1.02714,0.00037,0.1,0.00022,7e-05,2.16126,13.4581,0.71943,0.000298515,0.000298515,0.000298515
3,49.3096,2.93598,12.7117,1.06735,0.00037,0.1,0.00022,7e-05,2.47665,13.8894,0.78505,0.000455446,0.000455446,0.000455446
4,64.8543,2.21727,8.32929,0.97361,0.00074,0.2,0.0005,0.00012,2.41177,14.0964,0.7618,0.000610793,0.000610793,0.000610793
5,80.4701,2.33325,6.53747,1.11558,0.00074,0.2,0.00047,0.00015,3.14722,14.1248,0.90624,0.000764556,0.000764556,0.000764556
6,95.3508,2.2264,7.72386,1.12975,0.00074,0.2,0.00047,0.00015,2.64866,13.5827,0.76655,0.000916735,0.000916735,0.000916735
7,110.828,2.37418,6.64276,1.00811,0.00074,0.2,0.00046,0.00014,2.66049,13.4015,0.79095,0.00106733,0.00106733,0.00106733
8,126.772,2.20333,6.11299,1.00237,0.00093,0.25,0.00061,0.00038,2.81361,13.3294,0.81904,0.00121634,0.00121634,0.00121634
9,141.971,2.55377,7.31893,1.02041,0.00037,0.1,0.00021,0.0001,2.45589,13.4739,0.78702,0.00136377,0.00136377,0.00136377
10,159.026,2.34616,5.05702,0.95492,0.00093,0.25,0.01557,0.00174,2.5201,13.2726,0.78378,0.00150961,0.00150961,0.00150961
11,174.569,2.50849,8.48029,1.02138,0.0013,0.35,0.0114,0.00769,2.69955,13.5943,0.85477,0.00165387,0.00165387,0.00165387
12,190.078,2.02401,4.96371,1.03882,0.13402,0.1,0.03521,0.02056,3.00703,13.6479,0.93136,0.00179654,0.00179654,0.00179654
13,205.603,2.30427,5.47134,1.07291,0.00111,0.3,0.00714,0.00421,3.21979,13.2635,0.9456,0.0018812,0.0018812,0.0018812
14,221.313,2.25297,4.51249,1.11729,0.02224,0.1,0.00803,0.0048,1.25152,11.3061,0.52684,0.0018713,0.0018713,0.0018713
15,236.203,2.17978,4.08412,1.04379,0.72847,0.15,0.20249,0.10544,2.57508,10.7973,0.79704,0.0018614,0.0018614,0.0018614
16,252.126,2.44848,5.26029,1.10844,0.13747,0.25,0.04536,0.02541,2.60426,10.7022,0.80968,0.0018515,0.0018515,0.0018515
17,267.336,2.19147,3.88826,1.10504,0.08332,0.25,0.03336,0.01595,2.71369,10.6362,0.84229,0.0018416,0.0018416,0.0018416
18,283.392,2.64629,5.731,1.05755,0.28209,0.3,0.12383,0.04964,1.73886,8.66716,0.62116,0.0018317,0.0018317,0.0018317
19,299.354,2.35071,4.0468,1.19186,0.16221,0.2,0.05939,0.03069,1.76724,9.45013,0.62539,0.0018218,0.0018218,0.0018218
20,314.245,1.9098,3.98768,1.07468,0.20427,0.2,0.06436,0.03292,3.23606,9.45667,0.98803,0.0018119,0.0018119,0.0018119
21,328.965,2.3364,4.33216,1.12622,0.12996,0.23923,0.04658,0.02299,2.87017,9.18129,0.96677,0.001802,0.001802,0.001802
22,344.076,2.44898,4.44615,1.08962,0.33223,0.3,0.28389,0.15276,2.95441,7.91624,0.96826,0.0017921,0.0017921,0.0017921
23,358.982,2.21529,4.40086,0.90606,0.59273,0.25,0.26264,0.11759,3.10202,7.29914,0.99042,0.0017822,0.0017822,0.0017822
24,373.759,2.04408,3.65979,1.08588,0.54189,0.25,0.21231,0.12033,3.10574,7.69928,0.98228,0.0017723,0.0017723,0.0017723
25,388.498,2.28323,4.2216,1.04953,0.60203,0.25,0.22128,0.13593,3.19763,7.69657,0.9206,0.0017624,0.0017624,0.0017624
26,403.755,2.06786,3.85365,1.01075,0.46384,0.26023,0.25526,0.15018,2.66548,6.85812,0.77368,0.0017525,0.0017525,0.0017525
27,418.472,2.1427,3.25199,1.02327,0.65193,0.4,0.32831,0.17264,2.72642,6.48336,0.82462,0.0017426,0.0017426,0.0017426
28,435.593,2.18742,3.61396,0.9838,0.67948,0.45,0.40901,0.16701,2.98514,6.39051,0.87896,0.0017327,0.0017327,0.0017327
29,451.987,2.41657,4.05291,0.98754,0.67908,0.42422,0.38886,0.13331,3.15663,6.17166,0.95326,0.0017228,0.0017228,0.0017228
30,467.934,2.54178,3.71713,1.05783,0.48438,0.28281,0.22455,0.08566,2.76137,6.21008,0.8304,0.0017129,0.0017129,0.0017129
31,483.43,2.2557,3.60859,1.04161,0.44671,0.25,0.21544,0.11194,2.61972,6.12464,0.75784,0.001703,0.001703,0.001703
32,499.162,2.40455,3.71226,1.03578,0.52874,0.3,0.29293,0.15791,2.68118,5.83321,0.77453,0.0016931,0.0016931,0.0016931
33,514.912,2.32808,3.68157,1.01174,0.55478,0.4,0.32962,0.15958,3.08635,5.64705,0.90038,0.0016832,0.0016832,0.0016832
34,530.071,1.91823,2.72655,1.06048,0.72452,0.39495,0.39573,0.15601,3.15541,5.59222,0.91843,0.0016733,0.0016733,0.0016733
35,544.977,2.54132,3.5161,1.15668,0.68656,0.43879,0.42008,0.17935,3.01182,5.28191,0.915,0.0016634,0.0016634,0.0016634
36,559.738,1.94074,2.66263,0.90909,0.8032,0.45,0.4482,0.19194,2.89632,4.8367,0.92418,0.0016535,0.0016535,0.0016535
37,574.715,2.01526,2.92419,0.93901,0.8137,0.43768,0.44085,0.19891,2.65237,4.63312,0.9743,0.0016436,0.0016436,0.0016436
38,589.443,2.09261,3.14221,0.9505,0.67739,0.35,0.3364,0.12894,2.9097,4.79291,0.9951,0.0016337,0.0016337,0.0016337
39,604.55,1.85162,2.13275,1.00166,0.49628,0.3,0.27222,0.11391,3.05219,4.96959,0.98034,0.0016238,0.0016238,0.0016238
40,619.833,2.28764,3.54985,0.94918,0.48809,0.3,0.31999,0.14388,3.00723,4.53708,0.97061,0.0016139,0.0016139,0.0016139
41,635.025,2.5227,3.10554,1.15863,0.52792,0.3,0.31589,0.15197,2.92002,3.9413,0.97723,0.001604,0.001604,0.001604
42,650.514,2.47442,2.7139,0.98793,0.65698,0.38402,0.36742,0.16249,2.83551,3.90095,0.95255,0.0015941,0.0015941,0.0015941
43,665.943,2.15409,2.65167,1.04384,0.67584,0.45,0.43821,0.17662,2.81789,3.87248,0.92488,0.0015842,0.0015842,0.0015842
44,680.96,1.93697,2.80635,0.94361,0.49116,0.4,0.36201,0.13585,3.01722,4.10282,0.93857,0.0015743,0.0015743,0.0015743
45,696.277,2.36141,3.07483,1.094,0.46868,0.4,0.36025,0.1245,3.23063,4.26197,0.97876,0.0015644,0.0015644,0.0015644
46,711.331,2.27362,2.41911,0.99921,0.51619,0.45,0.42039,0.10912,3.21205,4.17036,0.98961,0.0015545,0.0015545,0.0015545
47,726.347,2.08097,2.12509,0.93813,0.8734,0.34551,0.36416,0.1387,3.18976,4.22486,0.98552,0.0015446,0.0015446,0.0015446
48,741.23,2.0433,2.45657,0.98898,0.59828,0.4,0.3398,0.16218,3.01865,4.11609,0.92508,0.0015347,0.0015347,0.0015347
49,756.494,2.67231,3.0762,0.91963,0.69604,0.34407,0.3228,0.15141,2.92281,3.89738,0.88096,0.0015248,0.0015248,0.0015248
50,771.862,2.02529,2.04765,0.96487,0.65165,0.35,0.35444,0.13722,2.51868,3.75178,0.86332,0.0015149,0.0015149,0.0015149
51,787.173,2.42426,3.04621,0.98542,0.38651,0.3,0.21681,0.1104,2.37705,3.74782,0.89001,0.001505,0.001505,0.001505
52,802.505,1.77681,1.79492,0.98834,0.35295,0.3,0.2274,0.11687,2.48165,3.60191,0.83423,0.0014951,0.0014951,0.0014951
53,817.906,2.10141,2.85439,0.88006,0.53197,0.45,0.35212,0.14436,2.59069,3.49621,0.81958,0.0014852,0.0014852,0.0014852
54,833.292,1.82002,1.79507,0.96147,0.54005,0.4,0.38656,0.15386,3.35141,3.49607,0.99862,0.0014753,0.0014753,0.0014753
55,848.378,2.0494,1.99624,0.93919,0.88654,0.39156,0.43103,0.17413,3.06848,3.28259,0.9401,0.0014654,0.0014654,0.0014654
56,864.327,2.30306,2.42458,1.07284,0.74953,0.4,0.45834,0.19967,3.34828,3.14109,0.98171,0.0014555,0.0014555,0.0014555
57,879.762,1.8935,1.8086,0.994,0.67402,0.45,0.47605,0.2128,3.16195,2.94523,0.97294,0.0014456,0.0014456,0.0014456
58,894.814,2.00223,1.89409,0.98794,0.58744,0.4,0.40137,0.19348,3.12634,3.23915,0.9514,0.0014357,0.0014357,0.0014357
59,910.119,1.91791,1.73399,0.98112,0.56518,0.3,0.28784,0.15118,2.78886,3.31701,0.91562,0.0014258,0.0014258,0.0014258
60,925.287,2.32666,2.09784,1.00182,0.50493,0.3,0.2549,0.12209,2.84913,3.24226,0.86749,0.0014159,0.0014159,0.0014159
61,941.079,2.22293,2.2659,0.90788,0.48299,0.35,0.26721,0.11621,2.6546,3.0035,0.79312,0.001406,0.001406,0.001406
62,956.504,2.00638,1.76966,0.94206,0.41345,0.3,0.23842,0.12115,2.49854,3.0049,0.75398,0.0013961,0.0013961,0.0013961
63,971.52,1.97795,1.71827,0.95602,0.42178,0.25,0.1332,0.06232,2.64146,3.28701,0.79172,0.0013862,0.0013862,0.0013862
64,986.748,1.71098,1.5335,0.89552,0.59836,0.4,0.33531,0.14253,2.68849,2.84158,0.81701,0.0013763,0.0013763,0.0013763
65,1002.34,1.9549,1.50419,0.99332,0.66418,0.45,0.4074,0.19119,2.73028,2.80174,0.83081,0.0013664,0.0013664,0.0013664
66,1017.48,2.17862,1.85585,1.03217,0.66439,0.4,0.40125,0.17382,2.74933,2.81238,0.83915,0.0013565,0.0013565,0.0013565
67,1032.99,1.98147,1.90753,0.89959,0.50969,0.36454,0.34301,0.12245,2.87763,2.90657,0.86485,0.0013466,0.0013466,0.0013466
68,1047.98,2.55149,2.16743,0.93898,0.53701,0.34811,0.29414,0.08308,3.23428,3.20168,0.93437,0.0013367,0.0013367,0.0013367
69,1064.51,2.18392,1.82169,1.0231,0.48766,0.35,0.29555,0.07862,3.508,3.25026,0.95597,0.0013268,0.0013268,0.0013268
70,1079.65,2.33151,1.98767,0.92066,0.44716,0.3,0.26275,0.11241,3.23656,3.07959,0.92211,0.0013169,0.0013169,0.0013169
71,1094.99,2.11797,1.64235,0.96098,0.52569,0.35,0.29225,0.13912,2.87118,2.87558,0.92899,0.001307,0.001307,0.001307
72,1110.47,1.98071,1.67056,0.91178,0.70921,0.4,0.40526,0.16262,2.56337,2.69662,0.86099,0.0012971,0.0012971,0.0012971
73,1125.84,1.85658,1.61481,0.92033,0.68731,0.4,0.39356,0.16701,2.47579,2.57108,0.81882,0.0012872,0.0012872,0.0012872
74,1140.9,2.0243,1.69424,0.90843,0.5197,0.4,0.36194,0.17208,2.39756,2.47841,0.77907,0.0012773,0.0012773,0.0012773
75,1156.7,1.7534,1.5727,1.01969,0.77533,0.34559,0.35095,0.15008,2.78039,2.66661,0.85318,0.0012674,0.0012674,0.0012674
76,1172.04,2.03279,1.86061,0.92244,0.66928,0.35,0.34612,0.13285,2.86987,2.96738,0.8788,0.0012575,0.0012575,0.0012575
77,1187.01,1.92129,1.75005,0.95412,0.66984,0.35,0.32719,0.12596,3.00881,3.11496,0.92315,0.0012476,0.0012476,0.0012476
78,1201.78,1.87012,1.41858,0.96299,0.67172,0.35,0.30806,0.11858,3.11134,3.10108,0.95104,0.0012377,0.0012377,0.0012377
79,1216.64,1.84686,1.66452,0.91178,0.70515,0.4,0.34486,0.14646,2.89341,2.92176,0.90596,0.0012278,0.0012278,0.0012278
80,1231.41,1.80878,1.4525,0.84861,0.64347,0.4,0.34655,0.15613,2.67968,2.69375,0.82643,0.0012179,0.0012179,0.0012179
81,1246.48,1.62196,1.35756,0.9094,0.8858,0.3889,0.3775,0.16011,2.55151,2.54817,0.78345,0.001208,0.001208,0.001208
82,1261.34,1.71795,1.25916,0.84827,0.77758,0.35,0.3575,0.15288,2.53806,2.5255,0.77884,0.0011981,0.0011981,0.0011981
83,1276.16,1.82229,1.60138,0.93938,0.75493,0.35,0.34532,0.14471,2.57556,2.55661,0.78236,0.0011882,0.0011882,0.0011882
84,1291.03,1.88892,1.53941,0.90323,0.63414,0.4,0.34185,0.14678,2.86582,2.77132,0.83817,0.0011783,0.0011783,0.0011783
85,1306.35,1.56549,1.31856,0.87324,0.7252,0.3962,0.35153,0.16475,3.19968,2.9917,0.91059,0.0011684,0.0011684,0.0011684
86,1321.51,1.91796,1.60538,1.06286,0.6374,0.4,0.37762,0.14953,3.13928,2.92651,0.88606,0.0011585,0.0011585,0.0011585
87,1336.59,1.9902,1.51065,0.89616,0.62508,0.4,0.38341,0.15661,3.14435,2.82754,0.8738,0.0011486,0.0011486,0.0011486
88,1351.74,1.77676,1.37478,0.94791,0.66627,0.4,0.36392,0.15163,3.1033,2.74676,0.85143,0.0011387,0.0011387,0.0011387
89,1366.91,1.82823,1.29521,0.91091,0.71906,0.35,0.35686,0.14969,3.02003,2.66957,0.83388,0.0011288,0.0011288,0.0011288
90,1382.06,1.9494,1.55563,0.92364,0.78302,0.45,0.40131,0.15859,2.8802,2.61375,0.82003,0.0011189,0.0011189,0.0011189
91,1397.19,1.97563,1.59387,0.86726,0.77001,0.45,0.42182,0.16442,2.71543,2.62355,0.79879,0.001109,0.001109,0.001109
